https://f10.vcaa.vic.edu.au/copyright-statement

Learning area/Capability,Discipline/Language,Level/Band,Sequence,Pathway,Achievement standard extract,Mode,Strand,Sub-strand,Content description code,Content description stem,Content description,Elaboration stem,Elaboration
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A02,Students learn to:,"apply the associative, commutative and distributive laws to aid mental and written computation, and formulate algebraic expressions using constants, variables, operations and brackets",This may involve students:,"recognising and applying the concept of variable as something that can change in value, investigating the relationships between variables, and the application to processes on Country/Place, including how cultural expressions of Aboriginal and Torres Strait Islander Peoples, such as storytelling, communicate mathematical relationships that can be represented as mathematical expressions"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A04,Students learn to:,"investigate, interpret and describe relationships between variables represented in graphs of functions developed from authentic data",This may involve students:,"using graphs to analyse a building's electricity or gas usage over a period of time, the value of shares on a stock market, or the temperature during a day, interpreting and discussing the relationships they represent"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A04,Students learn to:,"investigate, interpret and describe relationships between variables represented in graphs of functions developed from authentic data",This may involve students:,"using travel graphs to compare the distance travelled to and from school, interpreting and discussing features of travel graphs such as the slope of lines and the meaning of horizontal line segments"
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A04,Students learn to:,"investigate, interpret and describe relationships between variables represented in graphs of functions developed from authentic data",This may involve students:,"telling the story behind what is being represented in graphs of functions, for example, graphs representing pouring rates or distance versus time "
Mathematics,,Level 7,,,"Students use algebraic expressions to represent situations, describe the relationships between variables from authentic data and substitute values into formulas to determine unknown values.",,,,VC2M7A04,Students learn to:,"investigate, interpret and describe relationships between variables represented in graphs of functions developed from authentic data",This may involve students:,using graphs of evaporation rates to explore and discuss Aboriginal and Torres Strait Islander Peoples' methods of water resource management
Mathematics,,Level 7,,,They solve linear equations with natural number solutions and verify their solutions through substitution.,,,,VC2M7A03,Students learn to:,solve one-variable linear equations of increasing complexity with natural number solutions; verify equation solutions by substitution,This may involve students:,recognising that solving an equation is a process of determining a value that makes the equation true; and using substitution to determine whether a given number is a solution to an equation or not
Mathematics,,Level 7,,,They solve linear equations with natural number solutions and verify their solutions through substitution.,,,,VC2M7A03,Students learn to:,solve one-variable linear equations of increasing complexity with natural number solutions; verify equation solutions by substitution,This may involve students:,"solving equations using concrete materials, the balance model and backtracking, explaining the process"
Mathematics,,Level 7,,,They solve linear equations with natural number solutions and verify their solutions through substitution.,,,,VC2M7A03,Students learn to:,solve one-variable linear equations of increasing complexity with natural number solutions; verify equation solutions by substitution,This may involve students:,"solving linear equations such as $3x+7=19$ algebraically, and verifying the solution by substitution"
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A05,Students learn to:,generate tables of values from visually changing patterns or the rule of a function; describe and plot these relationships on the Cartesian plane,This may involve students:,"plotting points from a table of values generated using simple linear functions and recognising patterns, such as the points lie on a straight line"
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A05,Students learn to:,generate tables of values from visually changing patterns or the rule of a function; describe and plot these relationships on the Cartesian plane,This may involve students:,"discussing and using variables to create a general rule and using the rule to determine the value of the dependent variable for any given value of the independent variable; for example, plotting the value of the circumference of a circle for varying values of radius "
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A05,Students learn to:,generate tables of values from visually changing patterns or the rule of a function; describe and plot these relationships on the Cartesian plane,This may involve students:,"using function machines to generate a table of ordered pairs using input and output values, plotting the relationships on a Cartesian plane and describing the graph in terms of shape "
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A05,Students learn to:,generate tables of values from visually changing patterns or the rule of a function; describe and plot these relationships on the Cartesian plane,This may involve students:,"using diagrams and manipulatives to form linear growth patterns, representing these patterns in tables and describing the relationship in terms of the way the pattern is growing and in the context of the situation"
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A06,Students learn to:,"manipulate formulas involving several variables using digital tools, and describe the effect of systematic variation in the values of the variables",This may involve students:,"experimenting with different sets of tables of values from formulas; for example, using volume of a rectangular prism = length × width × height, and specifying a fixed width and equal length and varying the height"
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A06,Students learn to:,"manipulate formulas involving several variables using digital tools, and describe the effect of systematic variation in the values of the variables",This may involve students:,using spreadsheets and the formula function to recognise the effect of changing parameters on the entries in cells 
Mathematics,,Level 7,,,"Students create tables of values relating to algebraic expressions and formulas, and describe how the values change.",,,,VC2M7A06,Students learn to:,"manipulate formulas involving several variables using digital tools, and describe the effect of systematic variation in the values of the variables",This may involve students:,analysing distance travelled for different combinations of average speed and time of travel using a table of values and the distance formula
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M04,Students learn to:,"identify corresponding, alternate and co-interior relationships between angles formed when parallel lines are crossed by a transversal; use them to solve problems and explain reasons",This may involve students:,"constructing a pair of parallel lines and a pair of perpendicular lines using their properties, a pair of compasses and a ruler and set squares, or using dynamic geometry software"
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M04,Students learn to:,"identify corresponding, alternate and co-interior relationships between angles formed when parallel lines are crossed by a transversal; use them to solve problems and explain reasons",This may involve students:,"using dynamic geometry software to identify relationships between alternate, corresponding and co-interior angles for a pair of parallel lines cut by a transversal "
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M04,Students learn to:,"identify corresponding, alternate and co-interior relationships between angles formed when parallel lines are crossed by a transversal; use them to solve problems and explain reasons",This may involve students:,"using dynamic geometry software to demonstrate how angles and their properties are involved in the design and construction of scissor lifts, folding umbrellas, toolboxes and cherry pickers"
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M04,Students learn to:,"identify corresponding, alternate and co-interior relationships between angles formed when parallel lines are crossed by a transversal; use them to solve problems and explain reasons",This may involve students:,"using geometric reasoning of angle properties to generalise the angle relationships of parallel lines and transversals, and related properties, such as the size of an exterior angle of a triangle is equal to the sum of the sizes of opposite and non-adjacent interior angles, and the sum of the sizes of interior angles in a triangle in the plane is equal to the size of 2 right angles or 180°"
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M05,Students learn to:,demonstrate that the interior angle sum of a triangle in the plane is 180° and apply this to determine the interior angle sum of other shapes and the size of unknown angles,This may involve students:,"using concrete materials to demonstrate that the sum of the interior angles of a triangle is 180°; for example, using paper triangles and tearing to demonstrate that the interior angles when combined form 180° "
Mathematics,,Level 7,,,"Students apply knowledge of angle relationships and the sum of angles in a triangle to solve problems, giving reasons.",,,,VC2M7M05,Students learn to:,demonstrate that the interior angle sum of a triangle in the plane is 180° and apply this to determine the interior angle sum of other shapes and the size of unknown angles,This may involve students:,"using decomposition and the angle sum of a triangle to generalise the interior angle sum of an $𝑛$-sided polygon, as $180(n−2)=180n−360$"
